iteration_number,subclass,threshold,tp,fp,fn,fp_overlap,fn_overlap,precision,recall,f1-score
0,0,1,818,27,293,77,84,0.9731610337972167,0.7696540880503144,0.8595258999122037
0,1,1,9,12,64,9,9,0.6923076923076923,0.2967032967032967,0.41538461538461535
0,2,1,4,16,33,1,1,0.2727272727272727,0.15384615384615385,0.19672131147540986
0,total,1,831,34,358,108,126,0.9690627843494085,0.7484188334504568,0.8445678033306899
1,0,1,929,25,315,82,95,0.97789566755084,0.7783251231527094,0.8667711598746082
1,1,1,9,12,83,5,5,0.6129032258064516,0.18627450980392157,0.2857142857142857
1,2,1,4,18,44,0,0,0.18181818181818182,0.08333333333333333,0.1142857142857143
1,total,1,942,34,410,108,132,0.9720394736842105,0.742462311557789,0.8418803418803419
2,0,1,984,25,315,84,91,0.9788851351351351,0.7862957937584804,0.8720842738901431
2,1,1,11,12,81,8,8,0.6923076923076923,0.25,0.3673469387755102
2,2,1,4,21,49,1,1,0.2222222222222222,0.10909090909090909,0.14634146341463414
2,total,1,999,34,409,117,136,0.973561430793157,0.7537627934978929,0.8496776382762131
3,0,1,1033,33,304,87,92,0.9734939759036144,0.7994722955145118,0.8779427743571169
3,1,1,14,11,96,9,9,0.7441860465116279,0.25,0.3742690058479532
3,2,1,8,12,51,4,4,0.5714285714285714,0.23880597014925373,0.3368421052631579
3,total,1,1055,34,418,122,138,0.9747961452928094,0.758799769186382,0.8533419857235561
4,0,1,1064,33,305,96,117,0.9748091603053435,0.8072060682680152,0.8831258644536653
4,1,1,21,28,89,18,19,0.6744186046511628,0.3945578231292517,0.49785407725321895
4,2,1,10,19,55,2,2,0.42424242424242425,0.2028985507246377,0.2745098039215686
4,total,1,1095,46,401,150,186,0.968855788761002,0.7811135371179039,0.8649138712601995
5,0,1,1070,35,328,91,102,0.9730354391371341,0.7938403519798869,0.8743509865005192
5,1,1,22,40,95,24,25,0.6396396396396397,0.42771084337349397,0.5126353790613718
5,2,1,7,18,63,3,3,0.41935483870967744,0.17105263157894737,0.2429906542056075
5,total,1,1099,51,424,160,192,0.9660452729693741,0.7738666666666667,0.8593426117856086
6,0,1,983,38,339,75,91,0.9679865206402696,0.7721774193548387,0.8590654205607476
6,1,1,24,33,100,19,20,0.65625,0.38650306748466257,0.48648648648648646
6,2,1,9,23,55,6,6,0.4772727272727273,0.27631578947368424,0.35000000000000003
6,total,1,1016,53,440,141,171,0.9616220130340333,0.751131221719457,0.8434423626548111
7,0,1,1041,38,316,91,109,0.9702892885066459,0.7970456005138086,0.8751763046544428
7,1,1,25,18,115,17,19,0.7721518987341772,0.3465909090909091,0.47843137254901963
7,2,1,8,19,58,5,5,0.4864864864864865,0.23684210526315788,0.3185840707964602
7,total,1,1074,43,454,145,168,0.9699300699300699,0.7533948940793047,0.8480586976459797
10,0,1,876,36,644,66,79,0.9659413434247871,0.6132132132132132,0.7501836884643645
10,1,1,27,22,136,28,30,0.794392523364486,0.38461538461538464,0.5182926829268293
10,2,1,5,16,80,2,2,0.36,0.10112359550561797,0.15789473684210525
10,total,1,908,40,817,130,154,0.9675324675324676,0.5933300149328024,0.7355754396791113
10,0,1,876,36,644,66,79,0.9659413434247871,0.6132132132132132,0.7501836884643645
10,1,1,28,22,135,28,30,0.7962962962962963,0.3891402714932127,0.5227963525835866
10,2,1,5,16,80,2,2,0.36,0.10112359550561797,0.15789473684210525
10,total,1,909,40,816,130,154,0.967558799675588,0.593827775012444,0.7359654534238124
11,0,1,879,39,634,64,72,0.9629981024667932,0.6155245603395998,0.7510173880873104
11,1,1,27,23,129,32,35,0.8034188034188035,0.42152466367713004,0.5529411764705882
11,2,1,3,17,81,2,2,0.2916666666666667,0.07954545454545454,0.125
11,total,1,909,45,800,132,153,0.9636803874092009,0.5987963891675026,0.7386328487472934
12,0,1,2820,205,324,236,229,0.9412607449856734,0.9102244389027432,0.9254824623186365
12,1,1,46,49,163,47,47,0.7407407407407407,0.46204620462046203,0.5691056910569104
12,2,1,13,37,61,11,11,0.4861111111111111,0.3645833333333333,0.41666666666666663
12,total,1,2879,207,461,378,374,0.9460656591974987,0.8873411534701857,0.9157629255989913

# thr=4, ocon, only nlmention
41,0,1,2406,122,944,596,575,0.9670181130035145,0.7911966379119664,0.870316301703163
41,1,1,2,22,435,157,151,0.9337349397590361,0.4161073825503356,0.5756731662024142
41,2,1,6,7,122,42,42,0.9278350515463918,0.42452830188679247,0.5825242718446602
41,total,1,2414,151,1501,795,768,0.9634205426356589,0.7259948886454911,0.8280241515719343

# thr=4, ocon, nlmention + simpleword + sentencemarker
41,0,1,2927,240,452,503,549,0.9431144821047641,0.8979914240577748,0.9199999999999999
41,1,1,63,56,284,217,233,0.9015817223198594,0.64366373902133,0.7510980966325036
41,2,1,20,28,98,53,59,0.825,0.5739130434782609,0.6769230769230768
41,total,1,3010,324,834,773,841,0.9345189975747777,0.8471967753755955,0.8887180472804151

# simpleword + sentencemarker
41,0,1,2938,194,456,497,542,0.9534883720930233,0.8971351229415746,0.9244537424453743
41,1,1,52,40,331,177,200,0.9147121535181236,0.5644736842105263,0.6981285598047193
41,2,1,14,32,102,44,51,0.7730496453900709,0.5165876777251185,0.6193181818181819
41,total,1,3004,266,889,718,793,0.9443631039531479,0.8354922279792746,0.8865979381443299

# prepare best w/o embedded
41,0,1,3292,189,336,334,314,0.9542262048922258,0.921421889616464,0.9375371802498513
41,1,1,146,48,214,239,211,0.9254658385093167,0.7358024691358025,0.8198074277854194
41,2,1,41,27,70,53,57,0.848314606741573,0.6832579185520362,0.7568922305764411
41,total,1,3479,264,620,626,582,0.9466774389012321,0.8831731675146034,0.9138233573796062

#prepare best w/o embedded + nlmention ocon thr=4
41,0,1,3273,196,335,343,327,0.9526455665619715,0.9216923796166433,0.93691338956873
41,1,1,140,55,213,251,223,0.9177877428998505,0.7424425634824667,0.8208556149732621
41,2,1,40,28,70,57,61,0.8494623655913979,0.6929824561403509,0.7632850241545894
41,total,1,3453,279,618,651,611,0.9441329595514617,0.884117757359835,0.9131403118040089
